id,first_name,last_name,position
233,Frank,Jackson,G
234,Josh,Jackson,F
235,Justin,Jackson,F
236,Reggie,Jackson,G
237,LeBron,James,F
238,Amile,Jefferson,F
239,Jonas,Jerebko,F
240,Alize,Johnson,F
242,James,Johnson,F
243,Stanley,Johnson,F
244,Tyler,Johnson,G
245,Wesley,Johnson,F-G
246,Nikola,Jokic,C
247,Derrick,Jones Jr.,F-G
248,Damian,Jones,C
249,Tyus,Jones,G
250,DeAndre,Jordan,C
251,Cory,Joseph,G
252,Frank,Kaminsky,F-C
253,Enes,Kanter,C
254,Luke,Kennard,G
255,Michael,Kidd-Gilchrist,F
257,Maxi,Kleber,F
258,Brandon,Knight,G
259,Kevin,Knox,F
260,Furkan,Korkmaz,G-F
261,Luke,Kornet,F-C
262,Kyle,Korver,G-F
264,Rodions,Kurucs,F
265,Kyle,Kuzma,F
266,Skal,Labissiere,F
267,Jeremy,Lamb,G
268,Zach,LaVine,G
269,Jake,Layman,F
270,TJ,Leaf,F
271,Courtney,Lee,G
272,Damion,Lee,G
273,Alex,Len,C
274,Kawhi,Leonard,F
275,Meyers,Leonard,F-C
276,Jon,Leuer,F
277,Caris,LeVert,G
278,Damian,Lillard,G
279,Jeremy,Lin,G
280,Shaun,Livingston,G
282,Kevon,Looney,F
283,Brook,Lopez,C
284,Robin,Lopez,C
285,Kevin,Love,F-C
286,Kyle,Lowry,G
287,Jordan,Loyd,G
288,Timothe,Luwawu-Cabarrot,G-F
289,Tyler,Lydon,F
290,Trey,Lyles,F
291,Shelvin,Mack,G
292,Daryl,Macon,G
293,J.P.,Macura,G
294,Ian,Mahinmi,C
295,Thon,Maker,F
296,Boban,Marjanovic,C
297,Lauri,Markkanen,F
298,Jarell,Martin,F
299,Frank,Mason,G
300,Yante,Maten,F
301,Wesley,Matthews,G-F
302,Luc,Mbah a Moute,F
303,CJ,McCollum,G
304,T.J.,McConnell,G
305,Doug,McDermott,F
306,JaVale,McGee,C
307,Rodney,McGruder,F-G
308,Alfonzo,McKinnie,F
309,Ben,McLemore,G
310,Jordan,McRae,G
311,Jodie,Meeks,G
312,Salah,Mejri,C
313,De'Anthony,Melton,G
314,Chimezie,Metu,F
315,Khris,Middleton,F
316,CJ,Miles,F-G
317,Darius,Miller,F
318,Paul,Millsap,F
319,Patty,Mills,G
320,Shake,Milton,G
321,Nikola,Mirotic,F
322,Donovan,Mitchell,G
323,Naz,Mitrou-Long,G
324,Malik,Monk,G
325,Greg,Monroe,C
326,E'Twaun,Moore,G
327,Jaylen,Morris,G
328,Marcus,Morris,F
329,Markieff,Morris,F
330,Monte,Morris,G
331,Johnathan,Motley,F
332,Timofey,Mozgov,C
333,Emmanuel,Mudiay,G
334,Dejounte,Murray,G
335,Jamal,Murray,G
336,Dzanan,Musa,G-F
337,Mike,Muscala,F-C
338,Svi,Mykhailiuk,G
339,Abdel,Nader,F
340,Larry,Nance Jr.,F
341,Shabazz,Napier,G
342,Nene,,C-F
343,Raul,Neto,G
344,Georges,Niang,F
345,Nerlens,Noel,F-C
346,Dirk,Nowitzki,F
347,Frank,Ntilikina,G
349,Jusuf,Nurkic,C
350,David,Nwaba,G
351,Royce,O'Neale,F
352,Kyle,O'Quinn,C
353,Semi,Ojeleye,F
354,Jahlil,Okafor,C
355,Elie,Okobo,G
356,Josh,Okogie,G
357,Victor,Oladipo,G
358,Kelly,Olynyk,F
359,Cedi,Osman,F
360,Kelly,Oubre Jr.,F
361,Zaza,Pachulia,C
362,Jabari,Parker,F
363,Tony,Parker,G
364,Chandler,Parsons,F
365,Patrick,Patterson,F
366,Justin,Patton,C
367,Chris,Paul,G
368,Cameron,Payne,G
369,Elfrid,Payton,G
370,Theo,Pinson,G-F
371,Mason,Plumlee,F-C
372,Miles,Plumlee,C
373,Jakob,Poeltl,C
374,Quincy,Pondexter,F
375,Michael,Porter Jr.,F
376,Otto,Porter Jr.,F
377,Bobby,Portis,F
378,Kristaps,Porzingis,F-C
379,Dwight,Powell,F-C
380,Norman,Powell,F-G
381,Alex,Poythress,F
383,Taurean,Prince,F
385,Ivan,Rabb,F
386,Chasson,Randle,G
387,Julius,Randle,F
389,JJ,Redick,G
390,Davon,Reed,G
391,Josh,Richardson,G-F
393,Austin,Rivers,G
394,Andre,Roberson,G-F
395,Glenn,Robinson III,G-F
396,Devin,Robinson,F
397,Duncan,Robinson,F
398,Jerome,Robinson,G
399,Mitchell,Robinson,C
400,Rajon,Rondo,G
401,Derrick,Rose,G
402,Terrence,Ross,G-F
403,Terry,Rozier,G
404,Ricky,Rubio,G
405,D'Angelo,Russell,G
406,Domantas,Sabonis,F
407,Dario,Saric,F
408,Tomas,Satoransky,G-F
409,Dennis,Schroder,G
410,Mike,Scott,F
411,Thabo,Sefolosha,F
412,Wayne,Selden,G-F
413,Collin,Sexton,G
414,Landry,Shamet,G
415,Iman,Shumpert,G
416,Pascal,Siakam,F
417,Ben,Simmons,G-F
418,Jonathon,Simmons,F
419,Anfernee,Simons,G
420,Marcus,Smart,G
421,Dennis,Smith Jr.,G
422,Ish,Smith,G
423,Jason,Smith,F-C
424,JR,Smith,G-F
425,Zhaire,Smith,G
426,Tony,Snell,G
427,Ray,Spalding,F
428,Omari,Spellman,F
429,Nik,Stauskas,G
431,Lance,Stephenson,G
432,Edmond,Sumner,G
433,Caleb,Swanigan,F
434,Jayson,Tatum,F
435,Jeff,Teague,G
436,Garrett,Temple,G-F
438,Jared,Terrell,G
439,Daniel,Theis,F
440,Isaiah,Thomas,G
441,Khyri,Thomas,G
442,Lance,Thomas,F
443,Klay,Thompson,G
444,Tristan,Thompson,C-F
445,Sindarius,Thornwell,G
446,Anthony,Tolliver,F
447,Karl-Anthony,Towns,C
449,Allonzo,Trier,G
450,PJ,Tucker,F
451,Evan,Turner,G-F
452,Myles,Turner,C-F
453,Ekpe,Udoh,C-F
454,Tyler,Ulis,G
455,Jonas,Valanciunas,C
456,Denzel,Valentine,G
457,Jarred,Vanderbilt,F
458,Fred,VanVleet,G
459,Noah,Vonleh,F
460,Nikola,Vucevic,C
461,Dwyane,Wade,G
462,Moritz,Wagner,C
463,Dion,Waiters,G
464,Lonnie,Walker IV,G
465,Kemba,Walker,G
466,Tyrone,Wallace,G
467,John,Wall,G
468,Brad,Wanamaker,G
469,T.J.,Warren,F
470,Yuta,Watanabe,G
471,Thomas,Welsh,C
472,Russell,Westbrook,G
473,Derrick,White,G
474,Hassan,Whiteside,C
475,Andrew,Wiggins,F-G
476,Robert,Williams III,C-F
477,Alan,Williams,F-C
478,C.J.,Williams,G
479,Johnathan,Williams,F
480,Kenrich,Williams,G-F
481,Lou,Williams,G
482,Marvin,Williams,F
483,Troy,Williams,F
484,D.J.,Wilson,F
485,Justise,Winslow,F
486,Christian,Wood,F
487,Delon,Wright,G
488,Guerschon,Yabusele,F
489,Thaddeus,Young,F
490,Trae,Young,G
491,Cody,Zeller,C
492,Ante,Zizic,C
493,Ivica,Zubac,C
1364,Joe,Johnson,
1764,Corey,Brewer,
1771,Joakim,Noah,
1938,Jimmer,Fredette,
1983,Tyler,Zeller,
1988,Donatas,Motiejunas,
2007,John,Jenkins,
2048,Anthony,Bennett,
2075,Devyn,Marble,
2080,JaKarr,Sampson,
2099,Bruno,Caboclo,
2100,Kalin,Lucas,
2105,CJ,Wilcox,
2106,Eric,Moreland,
2117,David,Stockton,
2139,RJ,Hunter,
2148,Thanasis,Antetokounmpo,
2158,Patrick,McCaw,
2160,Isaiah,Whitehead,
2162,Deyonta,Davis,
2175,Danuel,House Jr.,
2178,Jonathan,Gibson,
2189,Gary,Payton II,
2190,Isaiah,Taylor,
2194,Josh,Magette,
2202,Kobi,Simmons,
2205,Jawun,Evans,
2208,Derrick,Walton Jr.,
2211,Antonius,Cleveland,
2213,London,Perrantes,
2215,Malcolm,Miller,
2216,Kadeem,Allen,
2219,Milton,Doyle,
2222,Myke,Henry,
2223,Ben,Moore,
2225,Josh,Gray,
2229,Walter,Lemon Jr.,
2909,Ken,Bannister,
2910,Ken,Norman,
2911,Loy,Vaught,
2912,Tom,Garrick,
2913,Winston,Garland,
2914,Antoine,Carr,
2915,Bill,Wennington,
2916,Bob,Hansen,
